model,spearmanr,mse,bias
Random Forest,0.3552495944787412,0.04579809680581093,-0.13432392437050292
MLP,0.26967042227181826,0.0438099205493927,-0.12169475704649636
Random Forest (test_a),0.2330769030606503,0.07185350358486176,-0.22308685473983383
MLP (test_a),0.28296759342959943,0.06516721844673157,-0.20788878886411283
Random Forest (test_c),0.3428920580218505,0.044491589069366455,-0.1301581280875798
MLP (test_c),0.25795630888441423,0.04277052357792854,-0.11769778935195081
Random Forest (test_b),0.47982314896302714,0.06368693709373474,-0.17452433503358503
MLP (test_b),0.47338432014987075,0.05617900565266609,-0.1572200408267775
