model,spearmanr,mse,bias
Random Forest,0.36822605604926817,0.045659590512514114,-0.13416427370382808
MLP,0.26967042227181826,0.0438099205493927,-0.12169475704649636
Random Forest (test_a),0.23810720229007223,0.07181219756603241,-0.2230277780010305
MLP (test_a),0.28296759342959943,0.06516721844673157,-0.20788878886411283
Random Forest (test_c),0.3564843789962932,0.04435009881854057,-0.12999761699431825
MLP (test_c),0.25795630888441423,0.04277052357792854,-0.11769778935195081
Random Forest (test_b),0.48549446396777685,0.0634773001074791,-0.17412941451251293
MLP (test_b),0.47338432014987075,0.05617900565266609,-0.1572200408267775
